"","Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"1416","University of Nebraska at Kearney","Kearney","NE",4328,"Public","Plains",0.9363,23,19,19,22469,5565,68049,0.6186602871,0.941100006103515,0.01,0.0526000022888183,0.0072000002861022,0.399224806202,0.470833333333,12500,41300
"1417","University of Nebraska at Omaha","Omaha","NE",12230,"Public","Plains",0.8168,23,19,19,18849,6733,75393,0.5608272506,0.884700012207031,0.0551000022888183,0.0494000005722045,0.0154999995231628,0.370823145884,0.418541240627,13188,44200
"1419","University of Nevada-Las Vegas","Las Vegas","NV",24707,"Public","Far West",0.8204,22,19,19,17582,7211,97002,0.5966262878,0.721100006103515,0.0782999992370605,0.170499992370605,0.0703999996185302,0.329525985151,0.380412788345,12500,45000
"1420","University of Nevada-Reno","Reno","NV",17513,"Public","Far West",0.8815,24,21,21,21792,7092,91737,0.5637824897,0.806600036621093,0.0340000009536743,0.133500003814697,0.0459000015258789,0.47687400319,0.554653341661,13250,47000
"1421","University of New England","Biddeford","ME",2379,"Private","New England",0.7982,23,20,20,53663,23042,79992,0.7390681004,0.943399963378906,0.0171000003814697,0.0209999990463256,0.0137000000476837,0.598958333333,0.582205029014,19822,46300
"1422","University of New Hampshire-Main Campus","Durham","NH",12668,"Public","New England",0.7678,25,22,22,32469,13676,107037,0.5576019545,0.94370002746582,0.015900000333786,0.0225999999046325,0.0174000000953674,0.675735294118,0.714776632302,23250,51400
"1423","University of New Hampshire at Manchester","Manchester","NH",703,"Public","New England",0.6757,24,22,22,20689,12069,86526,0.5576019545,0.94370002746582,0.015900000333786,0.0225999999046325,0.0174000000953674,0.675735294118,0.714776632302,23250,51400
"1424","University of New Haven","West Haven","CT",5041,"Private","New England",0.8387,23,20,20,54609,20345,95094,0.575202386,0.844300003051757,0.0775,0.0709999990463257,0.0275999999046325,0.556569343066,0.629360465116,22092,52100
"1425","University of New Mexico-Main Campus","Albuquerque","NM",17321,"Public","South West",0.6961,22,19,19,19235,6322,81513,0.5832672931,0.600299987792968,0.0219000005722045,0.356100006103515,0.0139999997615814,0.272613065327,0.329706860079,13484,36400
"1426","University of New Orleans","New Orleans","LA",5909,"Public","South East",0.5726,23,20,20,19331,8861,71811,0.5788849348,0.598300018310547,0.340099983215332,0.0528000020980835,0.0251999998092651,0.345679012346,0.381979695431,10250,37800
"1427","University of North Alabama","Florence","AL",5741,"Public","South East",0.6434,23,20,20,18712,7591,71082,0.6013931889,0.837600021362304,0.132200002670288,0.0204999995231628,0.0055000001192092,0.314487632509,0.432950191571,14250,37800
"1428","University of North Carolina at Asheville","Asheville","NC",3478,"Public","South East",0.9363,25,21,21,19710,6841,75258,0.6122059758,0.835400009155273,0.116700000762939,0.0388000011444091,0.0140999996662139,0.532934131737,0.574370709382,14000,34500
"1429","University of North Carolina at Chapel Hill","Chapel Hill","NC",18946,"Public","South East",0.2271,31,29,29,25527,15003,115569,0.6196397942,0.751600036621093,0.178099994659423,0.0503000020980835,0.0256999993324279,0.767164179104,0.829126213592,14786,55600
"1430","University of North Carolina at Charlotte","Charlotte","NC",23939,"Public","South East",0.6683,24,22,22,22346,8263,86598,0.5223081499,0.751299972534179,0.184799995422363,0.0494000005722045,0.0220000004768371,0.452979181622,0.546823356592,17000,44000
"1431","University of North Carolina at Greensboro","Greensboro","NC",16238,"Public","South East",0.8384,23,20,20,19779,6177,78813,0.6852653718,0.742200012207031,0.198999996185302,0.0451999998092651,0.0177999997138977,0.463492063492,0.527604815276,15150,37500
"1432","University of North Carolina at Pembroke","Pembroke","NC",5960,"Public","South East",0.8123,19,17,17,18589,4638,66708,0.606557377,0.53560001373291,0.256900005340576,0.0482999992370605,0.0108000004291534,0.341059602649,0.398882681564,15146,34400
"1433","University of North Carolina School of the Arts","Winston Salem","NC",890,"Public","South East",0.3823,25,22,22,21560,14580,69687,0.5207756233,0.780400009155273,0.140200004577636,0.0665000009536743,0.0299000000953674,0.6,0.763157894737,24179,35500
"1434","University of North Carolina Wilmington","Wilmington","NC",14076,"Public","South East",0.6125,25,23,23,24098,7440,75978,0.6308737498,0.785999984741211,0.158500003814697,0.0398000001907348,0.0162000000476837,0.557654075547,0.62605548854,15860,41600
"1435","University of North Dakota","Grand Forks","ND",9910,"Public","Plains",0.8221,24,21,21,20611,11379,75393,0.4770762379,0.911900024414062,0.0129999995231628,0.025,0.0130999994277954,0.37454279444,0.490940465919,17125,48700
"1436","University of North Florida","Jacksonville","FL",14223,"Public","South East",0.6108,24,21,21,19691,5546,73305,0.6145483297,0.782099990844726,0.153999996185302,0.0611999988555908,0.0245000004768371,0.4504,0.557267591166,12324,43200
"1438","University of North Texas","Denton","TX",31375,"Public","South West",0.7105,24,21,21,22827,9589,89802,0.5485318429,0.752699966430664,0.110699996948242,0.170699996948242,0.0351999998092651,0.415439010018,0.523483365949,14000,45000
"1440","University of Northern Colorado","Greeley","CO",8903,"Public","Rocky Mountains",0.9075,22,19,19,22886,10249,70065,0.6510354677,0.849499969482422,0.0254999995231628,0.142600002288818,0.0254999995231628,0.387755102041,0.50745301361,11932,42000
"1441","University of Northern Iowa","Cedar Falls","IA",9391,"Public","Plains",0.8074,24,21,21,21177,6485,74493,0.5950834879,0.940999984741211,0.0246000003814697,0.0279999995231628,0.0093999999761581,0.530944625407,0.611027190332,15541,44600
"1442","University of Northwestern-St Paul","Saint Paul","MN",1818,"Private","Plains",0.9262,24,21,21,43056,14794,58095,0.5782881002,0.906900024414062,0.0322000002861023,0.0284999990463256,0.0250999999046325,0.469696969697,0.611620795107,18750,38500
"1443","University of Notre Dame","Notre Dame","IN",8568,"Private","Great Lakes",0.1771,34,33,33,69395,24901,129195,0.4604402142,0.830400009155273,0.0715000009536743,0.0873999977111816,0.0395000004768371,0.9426987061,0.960784313725,19000,78400
"1445","University of Oklahoma-Norman Campus","Norman","OK",21675,"Public","South West",0.7769,26,23,23,28306,13551,88254,0.5573545135,0.78870002746582,0.0730000019073486,0.0651000022888183,0.0257999992370605,0.441647597254,0.531384762817,15892,51100
"1446","University of Oregon","Eugene","OR",18923,"Public","Far West",0.8337,25,22,22,25126,17072,93465,0.581754386,0.860100021362304,0.0187000000476837,0.0713000011444091,0.0405000019073486,0.592253521127,0.628979143798,15895,44800
"1447","University of Pennsylvania","Philadelphia","PA",10764,"Private","Mid East",0.0841,34,32,32,72584,40773,160983,0.5721331689,0.751999969482422,0.126899995803833,0.0826000022888183,0.0617000007629394,0.812854442344,0.816,17085,85900
"1452","University of Pittsburgh-Bradford","Bradford","PA",1246,"Public","Mid East",0.4913,23,20,20,27122,9851,67311,0.529968119,0.905800018310547,0.0607000017166137,0.0189999997615814,0.0145000004768371,0.626083367726,0.695440956652,20500,53900
"1453","University of Pittsburgh-Greensburg","Greensburg","PA",1506,"Public","Mid East",0.6403,24,21,21,27028,11728,64386,0.529968119,0.905800018310547,0.0607000017166137,0.0189999997615814,0.0145000004768371,0.626083367726,0.695440956652,20500,53900
"1454","University of Pittsburgh-Johnstown","Johnstown","PA",2598,"Public","Mid East",0.6511,24,21,21,26967,12084,66411,0.529968119,0.905800018310547,0.0607000017166137,0.0189999997615814,0.0145000004768371,0.626083367726,0.695440956652,20500,53900
"1455","University of Pittsburgh-Pittsburgh Campus","Pittsburgh","PA",19127,"Public","Mid East",0.5927,31,28,28,33155,18384,97704,0.529968119,0.905800018310547,0.0607000017166137,0.0189999997615814,0.0145000004768371,0.626083367726,0.695440956652,20500,53900
"1456","University of Portland","Portland","OR",3757,"Private","Far West",0.7533,26,23,23,58463,22941,77958,0.6276041667,0.815599975585937,0.0273000001907348,0.0807999992370605,0.0621999979019165,0.80534351145,0.82800982801,20500,58800
"1468","University of Redlands","Redlands","CA",2945,"Private","Far West",0.7475,26,23,23,65220,18560,92178,0.592654424,0.690299987792968,0.0590999984741211,0.257600002288818,0.0659000015258789,0.551807228916,0.663157894737,25000,55000
