"ID","AB","R","H","X2B","HR","RBI","SB","CS","BB","SO"
"contrwi01",416,0.15625,0.242788461538462,0.0552884615384615,0.0528846153846154,0.132211538461538,0.00961538461538462,0.00480769230769231,0.108173076923077,0.247596153846154
"contrwi02",334,0.152694610778443,0.278443113772455,0.0419161676646707,0.0598802395209581,0.134730538922156,0.00598802395209581,0,0.116766467065868,0.311377245508982
"coopega03",414,0.0893719806763285,0.260869565217391,0.0797101449275362,0.0217391304347826,0.120772946859903,0,0,0.0966183574879227,0.28743961352657
"cordefr02",242,0.148760330578512,0.21900826446281,0.0702479338842975,0.0330578512396694,0.119834710743802,0.0165289256198347,0.00413223140495868,0.115702479338843,0.380165289256198
"correca01",522,0.134099616858238,0.291187739463602,0.0459770114942529,0.0421455938697318,0.122605363984674,0,0.00191570881226054,0.116858237547893,0.231800766283525
"crawfbr01",407,0.122850122850123,0.230958230958231,0.0368550368550369,0.0221130221130221,0.127764127764128,0.00245700245700246,0.00245700245700246,0.0958230958230958,0.240786240786241
"crawfjp01",518,0.11003861003861,0.243243243243243,0.0463320463320463,0.0115830115830116,0.0810810810810811,0.00579150579150579,0.00386100386100386,0.131274131274131,0.154440154440154
"croncj01",575,0.137391304347826,0.257391304347826,0.048695652173913,0.0504347826086957,0.177391304347826,0,0,0.0747826086956522,0.285217391304348
"croneja01",587,0.149914821124361,0.240204429301533,0.0528109028960818,0.0289608177172061,0.149914821124361,0.00511073253833049,0,0.119250425894378,0.223168654173765
"cruzne02",448,0.111607142857143,0.234375,0.0357142857142857,0.0223214285714286,0.142857142857143,0.00892857142857143,0,0.109375,0.265625
"cruzon01",331,0.13595166163142,0.232628398791541,0.0392749244712991,0.0513595166163142,0.163141993957704,0.0332326283987915,0.0120845921450151,0.0845921450151057,0.380664652567976
"dalbebo01",317,0.126182965299685,0.214511041009464,0.028391167192429,0.0378548895899054,0.123028391167192,0.00946372239747634,0,0.0914826498422713,0.372239747634069
"darnatr01",396,0.154040404040404,0.267676767676768,0.0631313131313131,0.0454545454545455,0.151515151515152,0,0,0.047979797979798,0.227272727272727
"davisjd01",636,0.144654088050314,0.248427672955975,0.050314465408805,0.0377358490566038,0.110062893081761,0.00314465408805031,0.00314465408805031,0.122641509433962,0.383647798742138
"dazayo01",372,0.150537634408602,0.301075268817204,0.0564516129032258,0.00537634408602151,0.0913978494623656,0,0.00806451612903226,0.0698924731182796,0.155913978494624
"dejonpa01",210,0.0904761904761905,0.157142857142857,0.0428571428571429,0.0285714285714286,0.119047619047619,0.0142857142857143,0.00952380952380952,0.1,0.376190476190476
"delacbr01",329,0.115501519756839,0.252279635258359,0.060790273556231,0.0395136778115502,0.130699088145897,0.0121580547112462,0,0.0577507598784195,0.273556231003039
"deverra01",555,0.151351351351351,0.295495495495495,0.0756756756756757,0.0486486486486487,0.158558558558559,0.00540540540540541,0.0018018018018018,0.0900900900900901,0.205405405405405
"diazal02",305,0.114754098360656,0.242622950819672,0.0426229508196721,0.039344262295082,0.124590163934426,0.00327868852459016,0.00327868852459016,0.059016393442623,0.173770491803279
"diazel01",351,0.0826210826210826,0.227920227920228,0.0512820512820513,0.0256410256410256,0.145299145299145,0,0.00284900284900285,0.0712250712250712,0.233618233618234
"diazya01",473,0.150105708245243,0.295983086680761,0.0697674418604651,0.0190274841437632,0.120507399577167,0.00634249471458774,0.00634249471458774,0.164904862579281,0.126849894291755
